Ack required;Radius (Computed location);Longitude (Computed location);Latitude (Computed location);Source (Computed location);Country;Data;Device ID;Data1 (Downlink answer status);Data2 (Downlink answer status);Data3 (Downlink answer status);Data4 (Downlink answer status);Data5 (Downlink answer status);Downlink client status;Link Quality Indicator;Link Quality Indicator repeaters;Operator;RSSI1 (Receiver info);NapmId1 (Receiver info);Station ID1 (Receiver info);GetRssiRepeaters2Display1 (Receiver info);Delay1 (Receiver info);RSSI2 (Receiver info);NapmId2 (Receiver info);Station ID2 (Receiver info);GetRssiRepeaters2Display2 (Receiver info);Delay2 (Receiver info);RSSI3 (Receiver info);NapmId3 (Receiver info);Station ID3 (Receiver info);GetRssiRepeaters2Display3 (Receiver info);Delay3 (Receiver info);RSSI4 (Receiver info);NapmId4 (Receiver info);Station ID4 (Receiver info);GetRssiRepeaters2Display4 (Receiver info);Delay4 (Receiver info);Rollover counter;Sequence number;Timestamp
FALSE;13300;8.941.669.218.064.530;476.834.755.563.544;Network location;;0ca6;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-140.00;0;86BC;N/A;1.215;-137.00;0;DEF2;N/A;1.257;;;;;;;;;;;0;291;20/12/2021 04.46
FALSE;11800;8.992.651.324.213.560;4.766.207.140.386.940;Network location;;0cae;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-135.00;0;DEF2;N/A;1.221;;;;;;;;;;;;;;;;0;290;20/12/2021 00.43
FALSE;13200;8.991.515.856.461.900;47.660.797.870.376.700;Network location;;0cb5;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-137.00;0;DEF2;N/A;1.145;;;;;;;;;;;;;;;;0;288;19/12/2021 16.39
FALSE;10800;8.991.419.467.487.820;476.613.169.357.837;Network location;;0ca9;00C16E36;;;;;;;Average;N/A;SIGFOX_Switzerland_Heliot;-134.00;0;DEF2;N/A;01.56;;;;;;;;;;;;;;;;0;282;18/12/2021 16.27
FALSE;15000;8.993.662.387.376.010;4.766.051.295.793.630;Network location;;0c97;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-139.00;0;DEF2;N/A;1.868;;;;;;;;;;;;;;;;0;278;18/12/2021 00.18
FALSE;14300;8.991.364.092.941.840;47.659.505.018.050.000;Network location;;0c75;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-138.00;0;DEF2;N/A;1.469;;;;;;;;;;;;;;;;0;267;16/12/2021 03.55
FALSE;14300;8.992.714.446.172.270;4.766.051.219.674.720;Network location;;0c7a;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-138.00;0;DEF2;N/A;0,477777778;;;;;;;;;;;;;;;;0;266;15/12/2021 23.54
FALSE;15000;8.994.277.007.617.460;47.660.236.684.522.600;Network location;;0c7c;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-139.00;0;DEF2;N/A;0,674305556;;;;;;;;;;;;;;;;0;263;15/12/2021 11.48
FALSE;13200;8.992.099.872.767.520;4.765.998.219.338.620;Network location;;0c43;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-137.00;0;DEF2;N/A;1.374;;;;;;;;;;;;;;;;0;257;14/12/2021 11.35
FALSE;15600;8.992.112.775.388.440;4.766.159.954.344.840;Network location;;0c29;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-141.00;0;DEF2;N/A;1.161;;;;;;;;;;;;;;;;0;256;14/12/2021 07.32
FALSE;12100;8.992.045.277.968.780;47.660.820.978.806.500;Network location;;0c2c;00C16E36;;;;;;;Limit;N/A;SIGFOX_Switzerland_Heliot;-136.00;0;DEF2;N/A;1.942;;;;;;;;;;;;;;;;0;255;14/12/2021 03.31
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
